City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Outjo,NA,2021-08-11 20:43:45,-20.1167,16.15,61.3,39,0,8.01
110,Robertsport,LR,2021-08-11 20:43:45,6.7533,-11.3686,79.09,81,100,13.76
111,Provideniya,RU,2021-08-11 20:43:45,64.3833,-173.3,41.11,81,90,6.71
112,Thessalon,CA,2021-08-11 20:42:16,46.2501,-83.5666,79.09,87,73,7.45
113,Laguna,US,2021-08-11 20:43:46,38.421,-121.4238,106.65,23,1,1.01
114,Barcelos,PT,2021-08-11 20:40:09,41.5388,-8.6151,71.85,90,0,3.2
115,Enterprise,US,2021-08-11 20:43:46,36.0252,-115.2419,100.38,32,20,1.99
116,San Pedro De Macoris,DO,2021-08-11 20:42:45,18.4616,-69.2972,83.01,87,100,4.74
117,Banda Aceh,ID,2021-08-11 20:43:47,5.5577,95.3222,79.0,78,100,13.02
118,Novyy Urengoy,RU,2021-08-11 20:42:25,66.0833,76.6333,47.53,76,0,6.98
119,Talavera,PH,2021-08-11 20:43:47,15.6167,120.9333,74.77,95,100,1.5
120,Alofi,NU,2021-08-11 20:43:48,-19.0595,-169.9187,73.29,94,40,16.11
121,Geraldton,AU,2021-08-11 20:43:48,-28.7667,114.6,45.01,93,1,6.91
122,Bekovo,RU,2021-08-11 20:43:48,52.4663,43.712,77.7,43,65,16.04
123,Torbay,CA,2021-08-11 20:43:49,47.6666,-52.7314,71.76,79,90,3.44
124,East London,ZA,2021-08-11 20:43:49,-33.0153,27.9116,63.77,64,15,16.2
125,Wau,SS,2021-08-11 20:43:49,7.7029,27.9953,71.4,96,100,1.48
126,Kirkuk,IQ,2021-08-11 20:43:50,35.4681,44.3922,94.23,17,0,10.92
127,Chokurdakh,RU,2021-08-11 20:43:50,70.6333,147.9167,62.46,58,100,4.52
128,Puerto Ayora,EC,2021-08-11 20:43:50,-0.7393,-90.3518,80.56,85,50,8.01
129,Atikokan,CA,2021-08-11 20:42:15,48.7555,-91.6216,78.66,24,2,15.57
130,Beringovskiy,RU,2021-08-11 20:43:51,63.05,179.3167,45.88,82,89,8.3
131,Mar Del Plata,AR,2021-08-11 20:39:11,-38.0023,-57.5575,50.02,66,75,13.8
132,Sisophon,KH,2021-08-11 20:43:51,13.5859,102.9737,77.79,86,100,3.56
133,Kargasok,RU,2021-08-11 20:43:51,59.0556,80.8572,52.23,94,100,15.79
134,Saint-Pierre,RE,2021-08-11 20:43:52,-21.3393,55.4781,71.24,82,20,3.44
135,San Patricio,US,2021-08-11 20:43:52,28.017,-97.5169,96.89,49,5,15.75
136,Clyde River,CA,2021-08-11 20:43:53,70.4692,-68.5914,53.83,58,75,9.22
137,Norman Wells,CA,2021-08-11 20:43:53,65.282,-126.8329,57.24,82,75,9.22
138,Hof,DE,2021-08-11 20:43:53,50.3167,11.9167,64.11,79,75,4.0
139,Morgan City,US,2021-08-11 20:43:54,29.6994,-91.2068,86.0,94,90,4.61
140,Sheltozero,RU,2021-08-11 20:43:54,61.3667,35.3667,61.52,73,30,3.24
141,Maragogi,BR,2021-08-11 20:43:54,-9.0122,-35.2225,74.5,88,56,9.06
142,Kropotkin,RU,2021-08-11 20:43:55,45.4375,40.5756,75.47,74,97,5.03
143,Qinhuangdao,CN,2021-08-11 20:43:55,39.9317,119.5883,68.07,87,92,7.25
144,Nosy Varika,MG,2021-08-11 20:43:56,-20.5833,48.5333,64.81,87,37,3.62
145,Fort Nelson,CA,2021-08-11 20:43:56,58.8053,-122.7002,69.39,35,40,16.11
146,Lubbock,US,2021-08-11 20:43:07,33.6001,-101.8338,93.38,37,75,14.97
147,Flinders,AU,2021-08-11 20:43:57,-34.5833,150.8552,59.2,59,43,8.99
148,Hamilton,US,2021-08-11 20:43:57,39.1834,-84.5333,94.21,63,20,3.0
149,Sungai Besar,MY,2021-08-11 20:43:57,3.6746,100.9867,77.05,84,80,5.32
150,Wisconsin Rapids,US,2021-08-11 20:43:58,44.3836,-89.8174,83.19,85,20,3.44
151,Virtsu,EE,2021-08-11 20:43:58,58.5716,23.5115,60.94,97,100,2.37
152,Upernavik,GL,2021-08-11 20:43:58,72.7868,-56.1549,43.11,85,97,17.87
153,Marzuq,YE,2021-08-11 20:43:59,14.4,46.4667,79.36,49,4,4.85
154,Filingue,NE,2021-08-11 20:43:59,14.3521,3.3168,86.76,55,90,15.86
155,Hualmay,PE,2021-08-11 20:43:59,-11.0964,-77.6139,66.24,70,91,10.94
156,Faanui,PF,2021-08-11 20:44:00,-16.4833,-151.75,78.58,72,21,14.23
157,Dongsheng,CN,2021-08-11 20:44:00,39.8161,109.9776,61.14,59,28,7.45
158,Leningradskiy,RU,2021-08-11 20:44:00,69.3833,178.4167,37.87,75,100,9.31
159,Kaitangata,NZ,2021-08-11 20:44:01,-46.2817,169.8464,46.78,83,100,4.52
160,Taltal,CL,2021-08-11 20:44:01,-25.4,-70.4833,60.42,70,97,5.39
161,Lokosovo,RU,2021-08-11 20:44:01,61.1333,74.8167,47.95,79,2,6.8
162,Cravo Norte,CO,2021-08-11 20:44:02,6.3017,-70.2041,84.27,69,64,2.55
163,Carutapera,BR,2021-08-11 20:44:02,-1.195,-46.02,79.02,87,70,7.61
164,Te Anau,NZ,2021-08-11 20:44:03,-45.4167,167.7167,50.31,92,100,6.67
165,Tiksi,RU,2021-08-11 20:44:03,71.6872,128.8694,55.13,77,54,7.47
166,Kovernino,RU,2021-08-11 20:44:03,57.1253,43.8142,66.58,94,100,9.8
167,Road Town,VG,2021-08-11 20:42:36,18.4167,-64.6167,87.84,79,40,9.22
168,Non Sang,TH,2021-08-11 20:44:04,16.8687,102.5664,78.91,88,100,2.55
169,Dingle,PH,2021-08-11 20:44:04,10.9995,122.6711,75.11,88,100,3.74
170,Katsuura,JP,2021-08-11 20:44:04,35.1333,140.3,78.91,89,100,7.78
171,Pringsewu,ID,2021-08-11 20:44:05,-5.3582,104.9744,71.47,96,40,1.25
172,Samarai,PG,2021-08-11 20:44:05,-10.6167,150.6667,78.15,87,93,12.01
173,Petatlan,MX,2021-08-11 20:44:05,17.5167,-101.2667,87.62,60,12,6.26
174,Rosa Zarate,EC,2021-08-11 20:44:06,0.3333,-79.4667,82.15,67,99,4.74
