City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
363,Pangai,TO,-19.8,-174.35,71.71,64,20,10.36,few clouds
364,Boa Vista,BR,2.8197,-60.6733,76.98,83,90,3.44,overcast clouds
365,Manali,IN,13.1667,80.2667,91.49,55,100,7.92,overcast clouds
366,Peleduy,RU,59.6289,112.7406,87.8,30,6,4.0,clear sky
367,Acapulco,MX,16.8634,-99.8901,79.16,83,94,4.16,overcast clouds
368,Kununurra,AU,-15.7667,128.7333,91.38,19,3,11.5,clear sky
369,Nanakuli,US,21.3906,-158.1547,78.17,73,90,5.75,overcast clouds
370,Gurupa,BR,-1.405,-51.64,71.49,98,100,4.41,overcast clouds
371,Aktau,KZ,43.65,51.2,90.18,34,8,18.86,clear sky
372,Linqiong,CN,30.4159,103.4609,85.82,79,100,3.58,overcast clouds
373,Robertsport,LR,6.7533,-11.3686,76.39,90,100,14.63,moderate rain
374,Asasa,ET,7.1,39.2,58.87,81,73,1.1,light rain
375,Omsukchan,RU,62.5333,155.8,75.61,40,79,5.06,broken clouds
376,Padang,ID,-0.9492,100.3543,86.05,67,29,6.42,scattered clouds
377,Pangnirtung,CA,66.1451,-65.7125,54.86,91,100,7.83,light rain
378,Tongchuan,CN,35.0806,109.0897,76.66,61,91,9.8,overcast clouds
379,Pachino,IT,36.7186,15.0907,78.84,60,0,3.0,clear sky
380,Moron,AR,-34.6534,-58.6198,47.98,94,17,4.14,few clouds
381,Matay,EG,28.419,30.7792,87.91,40,0,7.63,clear sky
382,Oktyabrskoye,RU,43.0645,44.7417,73.54,73,43,8.95,scattered clouds
383,Xingyi,CN,24.1877,102.817,71.83,82,100,3.6,overcast clouds
384,Anadyr,RU,64.75,177.4833,52.3,71,20,11.18,few clouds
385,Sistranda,NO,63.7256,8.834,60.91,88,100,4.68,overcast clouds
386,Walvis Bay,NA,-22.9575,14.5053,52.09,93,1,11.5,clear sky
387,Castelo Do Piaui,BR,-5.3222,-41.5525,71.74,48,49,4.68,scattered clouds
388,Kirkwood,US,38.5834,-90.4068,70.45,92,100,3.58,overcast clouds
389,Oistins,BB,13.0667,-59.5333,78.89,89,40,9.22,scattered clouds
390,Porto Santo,PT,33.072,-16.3415,71.51,78,40,5.75,scattered clouds
391,Yatou,CN,37.15,122.3833,79.25,64,100,11.18,overcast clouds
392,Sola,VU,-13.8833,167.55,78.01,78,30,24.58,scattered clouds
393,Lishui,CN,28.4604,119.9103,85.35,80,100,1.19,overcast clouds
394,Puerto Leguizamo,CO,-0.1934,-74.7819,71.96,95,100,1.63,overcast clouds
395,Salym,RU,60.0625,71.4789,69.78,47,75,4.83,broken clouds
396,Sao Jose Do Calcado,BR,-21.0253,-41.6544,62.74,97,71,1.68,broken clouds
397,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.37,86,67,9.93,broken clouds
398,Canals,ES,38.9625,-0.5844,77.02,82,0,1.01,clear sky
399,Necochea,AR,-38.5473,-58.7368,32.04,83,0,10.22,clear sky
400,Tulsipur,NP,28.131,82.2973,72.07,92,100,2.19,moderate rain
401,Wewak,PG,-3.5534,143.6268,83.1,75,52,8.12,light rain
402,Faanui,PF,-16.4833,-151.75,78.33,71,9,13.58,light rain
403,Port Blair,IN,11.6667,92.75,80.64,89,90,10.36,mist
404,Juegang,CN,32.3174,121.1855,79.2,85,100,13.09,light rain
405,Hambantota,LK,6.1241,81.1185,89.94,62,40,9.22,scattered clouds
406,Mulanje,MW,-16.0316,35.5,74.71,38,1,3.27,clear sky
407,Notodden,NO,59.5594,9.2585,66.33,92,100,2.75,overcast clouds
408,Tuatapere,NZ,-46.1333,167.6833,50.83,83,24,2.91,few clouds
409,Okakarara,NA,-20.5833,17.4333,50.02,39,0,3.83,clear sky
410,Ewa Beach,US,21.3156,-158.0072,78.17,75,90,5.75,overcast clouds
411,Mahajanga,MG,-15.7167,46.3167,78.82,53,0,9.22,clear sky
412,Porto Belo,BR,-27.1578,-48.5531,55.38,93,100,5.37,light rain
413,Aswan,EG,24.0934,32.907,88.9,22,0,4.61,clear sky
414,Panguma,SL,8.1833,-11.1333,70.41,100,100,1.01,moderate rain
415,Guantanamo,CU,20.1444,-75.2092,74.77,92,100,5.3,light rain
416,Bireun,ID,5.203,96.7009,84.9,67,44,7.09,scattered clouds
417,Timizart,DZ,36.8,4.2667,86.54,25,4,2.8,clear sky
418,Acajutla,SV,13.5928,-89.8275,77.68,87,79,5.01,broken clouds
419,Kalmar,SE,56.6616,16.3616,64.96,88,0,3.44,clear sky
420,Ulladulla,AU,-35.35,150.4667,67.1,50,3,4.9,clear sky
421,Rovaniemi,FI,66.5,25.7167,56.61,100,20,2.3,fog
422,Jinchang,CN,38.4953,102.1739,83.62,23,0,6.31,clear sky
423,Okhotsk,RU,59.3833,143.3,64.53,78,100,6.24,overcast clouds
424,Salta,AR,-24.7859,-65.4117,40.57,72,0,1.99,clear sky
425,Ruteng,ID,-8.6136,120.4721,74.48,64,16,2.06,few clouds
426,Vila Velha,BR,-20.3297,-40.2925,67.95,94,40,2.3,scattered clouds
427,Fayetteville,US,35.0527,-78.8784,81.88,88,0,1.01,clear sky
428,Katherine,AU,-14.4667,132.2667,91.72,17,17,16.11,few clouds
429,Otjimbingwe,NA,-22.35,16.1333,52.7,38,0,6.2,clear sky
430,Portland,US,45.5234,-122.6762,87.67,57,34,1.99,scattered clouds
431,Sept-Iles,CA,50.2001,-66.3821,66.72,97,90,5.01,mist
432,Siderno,IT,38.2779,16.302,83.84,48,0,1.81,clear sky
433,Salinas,US,36.6777,-121.6555,69.66,84,18,1.34,few clouds
434,Kalmunai,LK,7.4167,81.8167,87.6,59,100,1.81,overcast clouds
435,Mezhdurechensk,RU,53.6942,88.0603,72.81,57,89,5.1,overcast clouds
436,Vestmannaeyjar,IS,63.4427,-20.2734,53.82,86,90,4.29,overcast clouds
437,Cabedelo,BR,-6.9811,-34.8339,72.27,86,3,10.2,clear sky
